Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2025/04/18,0.5926800000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/16,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/14,36.58789188847226,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/10,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/09,0.5938382022700668,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/08,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/07,23.42227596654647,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/06,4.742225071049479,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/05,29.576158411112353,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/04,16.17382448858604,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/04/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/31,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/25,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/24,1.7817,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/23,0.6000000000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/19,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/18,0.98902,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/09,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/06,0,null
